recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
copycat cinnabon delight hawaiian roll,air fryer recipe,air fryer recipe,make copycat cinnabon delight using hawaiian roll cream cheese air fryer recipe make enough serve crowd,8 ounce cream cheese 12 confectioner sugar 8 butter 1 vanilla 1 lemon juice 18 salt 12 slider roll 34 white sugar 1 cinnamon,combine cream cheese confectioner sugar 2 softened butter vanilla lemon juice salt together medium bowl mix electric mixer whisk smooth well blended transfer mixture resealable plastic bag piping bag use paring knife cut 12inch slit one side roll use small spoon handle finger form well center roll slit without going way side snip corner plastic bag fill roll cream cheese mixture help use small offset spatula end small spoon work mixture get ample amount filling inside without oozing side melt remaining butter small bowl brush light coating butter roll preheat air fryer 400 degree f 200 degree c according manufacturer instruction stir together sugar cinnamon shallow dish working batch avoid overcrowding air fry filled roll browned toasted 3 minute immediately coat warm roll evenly cinnamon sugar brush butter necessary dipping cinnamon sugar help sugar adhere,9,6
air fryer english muffin tuna melt,air fryer recipe,air fryer recipe,air fryer english muffin tuna melt make quick delicious meal begin toasting english muffin air fryer top quick tuna salad finish melting cheese air fryer,2 english muffin 2 5ounce can tuna 3 mayonnaise 1 mustard 3 celery 1 onion salt freshly black pepper taste 4 slice provolone cheese 4 slice cheddar cheese,preheat air fryer 325 degree f 165 degree c place sliced english muffin air fryer toast lightly browned 2 4 minute remove set aside combine tuna mayonnaise mustard celery onion salt pepper bowl mix combined divide tuna mixture 4 equal part top muffin half tuna top 1 slice provolone cheese 1 slice cheddar cheese air fry cheese melted 5 8 minute,9,2
air fryer lamb chop,air fryer recipe,air fryer recipe,air fryer lamb chop marinate fresh herb cook perfection air fryer 10 minute roasted potato green salad make excellent side dish,12 extra virgin olive oil 1 lemon zested juiced 1 kosher salt 12 black pepper 2 clove garlic 1 fresh oregano 1 fresh mint 2 fresh rosemary 3 fresh parsley 4 12inchthick lamb loin chop,combine olive oil lemon zest juice salt pepper garlic oregano mint rosemary parsley large resealable plastic bag gently squeeze content inside bag mix add lamb chop squeeze much air possible reseal bag marinate refrigerator least 2 hour 4 hour turn bag hour marinate side chop ready cook preheat air fryer 400 degree f 200 degree c according manufacturer instruction add lamb chop air fryer single layer air fry 3 12 minute turn chop continue air fry additional 3 minute test doneness instant read thermometer 120 degree f 49 degree c rare 130 degree f 54 degree c medium 145 degree f 63 degree c medium well add time 1minute increment achieve desired doneness tent foil allow rest 5 10 minute serving,10,6
air fryer pesto chicken quinoa bowl,air fryer recipe,air fryer recipe,air fryer pesto chicken quinoa bowl hearty dinner air fried seasoned chicken zucchini spear atop fluffy wholegrain quinoa fresh tomato crumbled feta,2 pesto 14 garlic powder 1 pound boneless chicken breast 2 olive oil 18 crushed red pepper flake 18 salt 18 black pepper 1 zucchini nonstick cooking spray 2 cooked quinoa see note 10 basil leaf 1 grape tomato 14 feta cheese,mix together pesto garlic powder bowl add chicken bowl stir evenly coated separate bowl mix together olive oil pepper flake salt black pepper add zucchini bowl stir evenly coated preheat air fryer 400 degree f 200 degree c lightly spray air fryer nonstick spray place chicken one side place seasoned zucchini side fry preheated air fryer instantread thermometer inserted center chicken read 165 degree f 74 degree c 10 minute mix cooked quinoa basil leaf together bowl place 1 quinoa u00bd tomato half chicken breast half zucchini spear top bowl half feta cheese serve,13,7
air fryer honey mustard salmon bite,air fryer recipe,air fryer recipe,air fryer honey mustard salmon bite quick easy make air fryer honey mustard salmon delicious togetherthese bite hit next party,1 pound salmon 1 olive oil 12 paprika 14 salt 18 black pepper 14 honey mustard,gather ingredient preheat air fryer 400 degree f 200 degree c combine salmon oil paprika salt pepper small mixing bowl toss combine place seasoned salmon basket air fryer air fry 4 minute using basting brush lightly brush honey mustard salmon piece stick toothpick bite air fry fish flake easily fork 4 minute transfer serving plate serve immediately,6,6
air fryer honey mustard salmon,air fryer recipe,air fryer recipe,air fryer honey mustard salmon quick enough make weeknight sweetsharp honey mustard perfect flavor match succulent salmon preparing air fryer next best thing grilling half trouble,1 pound salmon filet 2 dijon mustard 1 honey 12 salt 14 black pepper,gather ingredient preheat air fryer 400 degree f 200 degree c stir dijon honey together small bowl brush salmon season salt pepper place salmon single layer air fryer basket air fry salmon preheated air fryer fish flake easily fork 7 9 minute depending thickness sauce melt butter small saucepan medium heat remove heat pour whiskey return saucepan heat allow flame burn alcohol stir cream dijon honey bring gentle boil cook sauce thickens slightly 1 2 minute season salt pepper transfer salmon plate garnish sauce fresh thyme,5,6
panko sesame crusted salmon bite,air fryer recipe,air fryer recipe,airfried panko sesame crusted salmon bite crunchy nutty crust surrounding tender buttery perfectlycooked salmon youll time stir sweetsavory kewpie mayonnaise soy sesame chiligarliclime dipping sauce salmon bite fryer,1 pound salmon fillet 1 kosher salt 1 granulated garlic 12 mayonnaise 1 toasted sesame oil 1 soy sauce 1 12 lime juice 12 panko japanesestyle breadcrumb 12 toasted sesame seed cooking spray 2 chili garlic sauce 1 honey,gather ingredient sprinkle salmon evenly 12 salt whisk together granulated garlic 14 mayonnaise 1 12 sesame oil 1 12 soy sauce 1 lime juice remaining 12 salt bowl add salmon mayonnaise mixture gently toss coat stir together panko sesame seed 1 sesame oil shallow bowl working 4 batch dredge salmon panko mixture gently pressing adhere transfer large plate baking sheet lightly coat air fryer basket cooking spray place half salmon basket spaced least 1 inch apart cook 400 degree f 200 degree c browned instantread thermometer inserted thickest part salmon register 125 degree f 52 degree c 5 minute transfer cooked salmon plate repeat remaining salmon salmon cook stir together chili garlic sauce honey remaining 14 mayonnaise 1 12 soy sauce 12 toasted sesame oil 12 lime juice small bowl drizzle chili garlic mixture cooked salmon serve lime wedge,12,5
wet wet wing,air fryer recipe,air fryer recipe,fingerlicking chicken wing covered wet wet sauce surely smash hit next gathering,2 pound chicken wing drummettes 1 oil 1 12 kosher salt 12 pepper 1 wet wet sauce 12 bunchgreen onion green part sliced optional green onion green part sliced optional 1 sesame seed optional,toss wing bowl oil salt pepper transfer air fryer basket air fry wing 400 degree f 200 degree c cooked crisp 20 25 minute wing cook prepare wet wet sauce set aside pour wet wet sauce wing toss well coated sauce sprinkle green onion sesame seed desired,7,4
air fried tossed taquitos,air fryer recipe,air fryer recipe,air fried tossed taquitos frozen chicken taquitos given quick upgrade air frying tossing buttered hot sauce sprinkling cotija cheese cilantro,24 chicken taquitos 2 butter 1 hot sauce 14 cotija cheese 1 cilantro 12 sour cream needed dipping,heat air fryer 400 degree f 200 degree c add taquitos cook slightly crispy 8 minute meanwhile melt butter large skillet medium heat stir hot sauce well combined toss taquitos butter mixture well coated add serving platter top cheese cilantro serve sour cream,6,2
easy air fryer chicken breast,air fryer recipe,air fryer recipe,air fryer chicken breast quick simple make always come perfectly moist juicy recipe easy scale people,1 8 ounce chicken breast 2 olive oil 14 garlic powder taste salt freshly black pepper taste,gather ingredient preheat air fryer 360 degree f 182 degree c brush side chicken breast olive oil season garlic powder salt pepper one side place chicken breast seasonedside air fryer basket sprinkle side garlic powder salt pepper cook preheated air fryer 9 minute flip chicken continue cooking longer pink center juice run clear 9 minute instantread thermometer inserted center read least 165 degree f 74 degree c transfer chicken breast plate loosely cover aluminum foil let rest 5 minute serving,4,4
air fryer lemon garlic parmesan chicken,air fryer recipe,air fryer recipe,simple lemon garlic parmesan chicken thigh cooked air fryer seasoned lemon zest garlic oregano coated parmesan cheese come juicy tender,1 12 pound skinless boneless chicken thigh 3 clove garlic 1 lemon zest 1 paprika 1 dried oregano 12 salt 14 crushed red pepper 12 grated parmesan cheese 14 panko bread crumb cooking spray,gather ingredient preheat air fryer 400 degree f 200 degree c place chicken large bowl add garlic lemon zest paprika oregano salt crushed red pepper toss coat chicken seasoning combine parmesan cheese panko shallow dish dredge chicken parmesan mixture coat sprinkle remaining mixture chicken pat adhere coat chicken generously cooking spray lightly coat air fryer basket cooking spray place chicken prepared basket cook batch needed air fry 12 minute instantread thermometer inserted center read 170 degree f 77 degree c serve immediately,10,7
air fryer smores,air fryer recipe,air fryer recipe,recipe air fryer smores perfect time craving bonfire easily make 1 smore air fryer make whole batch,1 sleeve graham cracker 5 15 ounce chocolate candy bar 10 smoresized marshmallow,preheat air fryer 380 degree f 193 degree c lay total 10 graham cracker break apart take 10 smore size marshmallow cut half horizontally serrated knife place sticky side marshmallow half onto square side graham cracker rectangle place piece parchment air fryer basket place graham cracker basket marshmallow side facing air fry marshmallow toasted 3 4 minute remove carefully gently break marshmallowtopped graham cracker rectangle 2 square add chocolate bar half top 1 square sandwich chocolate square,3,4
air fryer baked yam,air fryer recipe,air fryer recipe,air fryer baked yam free oven especially helpful holiday come every bit tender moist ovenbaked yam,1 yam 12 olive oil,preheat air fryer 400 degree f 200 degree c scrub yam clean dry paper towel rub olive oil place yam preheated air fryer cook tender pierced fork 15 20 minute,2,3
lemon garlic butter chicken spiedini,air fryer recipe,air fryer recipe,lemon garlic butter chicken spiedini airfried crispy golden breaded chicken skewer light lemon garlic butter drizzle,12 extravirgin olive oil 14 white wine pinot grigio 3 lemon juice 1 lemon zest 4 clove garlic 14 crushed red pepper flake 14 oregano 2 kosher salt 1 pepper 2 pound skinless boneless chicken thigh 23 italian breadcrumb 23 panko 12 grated parmesan cheese 12 garlic powder skewer cooking spray 4 butter 2 fresh parsley,whisk together olive oil wine 2 lemon juice lemon zest 12 garlic crushed red pepper oregano 1 salt 12 pepper bowl add chicken toss coat cover refrigerate 30 minute 1 hour stir together remaining salt pepper bread crumb panko parmesan cheese garlic powder shallow dish remove chicken marinade toss coat breadcrumb mixture pressing adhere necessary thread chicken onto skewer coat olive oil cooking spray preheat air fryer 390 degree f 198 degree c air fry chicken longer pink center juice run clear lightly golden brown crisp 12 minute instant read thermometer inserted near center read 165 degree f 74 degree c meanwhile melt butter remaining garlic microwavesafe dish high microwave 10 second stir remaining lemon juice parsley drizzle butter mixture chicken serving,18,4
air fryer grilled pimento cheese,air fryer recipe,air fryer recipe,pimento cheese southern classic also component legendary sandwich annual master golf tournament updated twist combine juicy tomato crusty bread air fry toasty perfection youll ultimate sandwich,4 slice french bread 2 mayonnaise 12 pimento cheese spread 1 tomato 18 dried basil salt freshly black pepper,preheat air fryer 370 degree f 188 degree c spread one side bread slice lightly mayonnaise lay 2 slice bread mayonnaise side evenly spread pimento cheese top tomato slice sprinkle basil season salt pepper top remaining 2 bread slice mayonnaise side move sandwich air fryer basket place toothpick center sandwich air fry bread fully toasted golden brown 8 10 minute flipping halfway remove toothpick sandwich slice half serve,6,4
air fryer chicken parmesan,air fryer recipe,air fryer recipe,use air fryer make quick easy chicken parmesan recipe resulting crispy golden brown chicken lot cheesiness sauce perfect busy weeknight dont want fuss deepfrying,2 28ounce boneless skinless chicken breast patted dry 34 kosher salt divided 12 black pepper divided 13 purpose flour 2 large egg lightly beaten 1 12 seasoned panko japanesestyle breadcrumb 14 armesan cheese plus garnish 2 olive oil 14 crushed red pepper 14 garlic powder 1 marinara sauce plus serving 1 mozzarella cheese,gather ingredient cutting board butterfly chicken cutting breast half widthwise create 4 thin piece chicken season side 12teaspoon salt 14 black pepper place flour egg panko 3 separate shallow dish add parmesan oil crushed red pepper garlic powder panko stir coat add remaining 14 salt remaining 14 black pepper flour stir combine working 1 chicken piece time dredge chicken flour shake excess dip egg let excess drip dredge panko mixture coat place plate preheat 6quart air fryer 400 degree f 200 degree c 2 minute working two batch add 2 chicken cutlet air fryer basket single layer cook chicken golden brown side 5 minute per side top chicken piece 14 marinara 14 mozzarella cheese snugly fit 4 breast single layer air fryer basket cook 400 degree f 200 degree c cheese melted browned thermometer inserted thickest portion chicken register 165 degree f 73 degree c 2 3 minute,12,6
air fryer eggplant,air fryer recipe,air fryer recipe,air fryer eggplant there need timeconsuming breading quickandeasy eggplant tasty soft creamy inside,1 pound eggplant 2 avocado oil 12 garlic powder 12 dried thyme 12 lemon pepper 14 salt,preheat air fryer 400 degree f 200 degree c place disposable paper liner air fry basket give spritz cooking spray stir eggplant cube large bowl avocado oil sprinkle garlic powder thyme lemon pepper salt toss piece well coated place eggplant cube single layer air fryer basket mist cooking spray cook browned outside tender inside 15 17 minute shaking basket halfway serve immediately,6,3
air fryer sriracha fry,air fryer recipe,air fryer recipe,air fryer sriracha fry best french fry anyone love spicy foodgolden crispy spicy,2 3 russet potato 1 oil 2 riracha 1 pinch salt,cut potato fry place cut fry bowl water soak 1 hour preheat oven 200 degree f 95 degree c line baking sheet paper towel set wire rack sheet preheat air fryer 375 degree f according manufacturer instruction drain fry pat dry paper towel place fry resealable plastic bag add oil 1 sriracha salt seal bag toss coat add fry bottom air fryer basket single flat layer stacked work batch air fry crispy golden brown 13 minute place fry prepared baking sheet keep warm preheated oven repeat remaining fry place fry platter drizzle remaining sriracha enjoy,4,8
crispy air fryer potato bite,air fryer recipe,air fryer recipe,crispy air fryer potato bite crispy flavorful outside tender inside grated parmesan creates perfect crust air fryer,1 pound red potato 1 olive oil 12 garlic powder 14 salt 18 black pepper 2 grated parmesan cheese,preheat air fryer 400 degree f 200 degree c according manufacturer instruction place cubed potato large bowl add olive oil toss coat add garlic powder salt pepper toss add grated parmesan toss one last time place seasoned potato basket preheated air fryer cook 8 minute shake cook tender 4 minute serve immediately,6,3
copycat wingstop cajun corn,air fryer recipe,air fryer recipe,copycat wingstop cajun corn seasoned garlic cayenne herb exactly like favorite restaurant version,4 ear corn 2 olive oil 1 14 kosher salt 12 butter 12 pepper 1 onion powder 1 garlic powder 14 thyme 14 oregano 1 paprika 14 cayenne pepper,cut corn 2inch thick piece toss corn olive oil 1 salt 2 melted butter preheat air fryer 400 degree f 200 degree c according manufacturer instruction add corn air fryer cook 15 minute tossing occasionally partially golden brown meanwhile combine remaining salt butter remaining ingredient large bowl mix well add cooked corn butter mixture toss well coat,11,4
air fryer po boy,air fryer recipe,air fryer recipe,deliciously crispy fried shrimp cooked air fryer piled onto toasted roll flavorful coleslaw make lighter version classic po boy sandwich love,u00bc lemon juice 3 olive oil 2 clove garlic 1 fresh tarragon 2 dijon mustard u00bd kosher salt divided 1 14 ounce package coleslaw mix u00be buttermilk 2 hot pepper sauce 1 cayenne pepper 1 dried chipotle pepper u00bd black pepper 1 u00bd pound large shrimp peeled deveined tail removed 2 whole wheat panko bread crumb 6 6 inch wholewheat hoagie roll split toasted,make coleslaw whisk lemon juice oil garlic tarragon mustard 14 kosher salt together bowl add coleslaw mix toss coat set aside whisk buttermilk hot sauce cayenne chipotle pepper black pepper remaining salt together another bowl add shrimp buttermilk mixture tossing coat let marinate minute meanwhile preheat air fryer 400 degree f 200 degree c according manufacturer instruction add 23 panko shallow dish remove shrimp buttermilk mixture letting excess drip working 3 batch dredge 13 shrimp 23 panko turning evenly coat transfer baking sheet repeat remaining shrimp panko working batch necessary arrange shrimp single layer fryer basket cook turning shrimp golden brown cooked 8 minute serve put coleslaw roll top shrimp,15,6
air fryer buffalo wing,air fryer recipe,air fryer recipe,crispy air fryer buffalo wing seasoned garlic paprika cayenne pepper take minute prep always come juicy inside serve ranch blue cheese sauce eat asis,2 sea salt 1 garlic powder 1 mustard powder 1 coriander 1 smoked paprika u00bd cayenne pepper u00bc black pepper 1 pound chicken wing,preheat air fryer 380 degree f 190 degree c combine sea salt garlic powder mustard powder coriander smoked paprika cayenne pepper black pepper shallow bowl dredge chicken wing spice mixture set air fryer basket one layer cook air fryer chicken wing longer pink bone juice run clear 30 minute instantread thermometer inserted near bone read 165 degree f 74 degree c wing smaller reduce cooking time,8,3
air fryer smashed potato,air fryer recipe,air fryer recipe,golden crispy air fryer smashed potato easier make think 20 minute theyre flavored garlic brushed butter make extra crispy,8 ounce baby gold potato 1 melted unsalted butter 12 salt 14 garlic powder 14 freshly black pepper fresh parsley garnish optional,preheat air fryer 400 degree f 200 degree c meanwhile place potato microwavesafe bowl cook high tender 5 minute transfer potato baking sheet use bottom small glass gently smash 34 12inch thick thinner flatten potato crispier brush melted butter top smashed potato season salt garlic powder pepper place potato basket air fryer even layer cook golden crisp 10 minute garnish parsley serve hot,6,5
air fryer quesadilla,air fryer recipe,air fryer recipe,air fryer quesadilla golden crispy quick easy make skillet wash flour corn tortilla work recipe choice cheese,2 flour tortilla 12 cheese nonstick cooking spray,heat tortilla microwave pliable 15 second place 14 cheese one half tortilla fold half tortilla cheese place air fryer spray nonstick cooking spray set temperature 375 degree f 190 degree c place quesadilla basket air fryer cook golden brown 4 6 minute flip quesadilla press spatula air fry additional 2 3 minute,3,3
air fryer truffle polenta fry,air fryer recipe,air fryer recipe,air fryer truffle polenta fry flavored truffleinfused oil truffle zest crispy outside tender juicy inside like serve alongside steaksteak frites speak serve dipping sauce recommend spicy mayo marinara ranch ketchup,1 18 ounce tube polenta 1 12 black truffleinfused olive oil 1 12 truffle zest seasoning 2 parmesan cheese 2 fresh parsley,preheat air fryer 400 degree f 200 degree c according manufacturer instruction line baking sheet paper towel set aside cut tube polenta half widthwise cut half half lengthwise cut 12inch wide fryshaped stick whisk truffleinfused olive oil truffle zest bowl add fry gently toss coat place fry basket air fryer single layer depending size air fryer fry may need cooked batch cook 10 minute shake basket cook 5 minute using tongs transfer fry prepared baking sheet garnish parmesan parsley,5,5
air fryer firecracker salmon bite,air fryer recipe,air fryer recipe,air fryer firecracker salmon bite get quick spicy soyginger marinade pop air fryer,14 balsamic vinegar 14 brown sugar 3 vegetable oil 3 soy sauce 1 garlic 1 ginger 2 crushed red pepper flake taste 12 kosher salt 1 14 pound salmon filet cooking spray,combine balsamic vinegar brown sugar oil soy sauce garlic ginger red pepper salt bowl whisk well set aside half marinade serving add salmon remaining marinade bowl toss lightly coat cover plastic wrap marinate refrigerator least 30 minute 4 hour preheat air fryer 400 degree f 200 degree c 2 3 minute according manufacturer instruction spray air fryer basket nonstick cooking spray add salmon single layer cooking batch necessary cook salmon flake easily fork lightly browned crisp around edge 6 8 minute serve drizzled reserved sauce,10,4
air fryer chicken bite,air fryer recipe,air fryer recipe,air fryer chicken bite seasoned lemon garlic italian herb perfect addition appetizer tray great add salad main dish family dinner,1 pound boneless chicken breast 3 butter melted 1 olive oil 1 lemon juice taste 3 clove garlic 1 talian seasoning 1 salt 1 paprika 12 cayenne pepper optional,preheat air fryer 350 degree f 175 degree c setting 5 minute stir melted butter olive oil lemon juice garlic italian seasoning salt paprika cayenne together large bowl add chicken piece toss coat thoroughly place chicken piece single layer air fryer basket may cook batch air fry preheated fryer chicken longer pink center juice run clear 8 10 minute instantread thermometer inserted near center read 165 degree f 74 degree c,9,3
4 ingredient air fryer pepper popper,air fryer recipe,air fryer recipe,4 ingredient air fryer pepper popper flavor love popper without heat like tad heat feel free add pepper jack cheese mixture first thing disappear next watch party,1 bell pepper color 8 ounce cream cheese softened 1 1 ounce packet ranch dip mix 2 bacon bit,preheat air fryer 390 degree f 199 degree c according manufacturer instruction quarter bell pepper lengthwise remove stem membrane seed discard cut quarter half lengthwise mix cream cheese ranch dip mix bacon bit together bowl evenly combined using spoon divide mixture pepper slice 1 12 2 per slice place stuffed bell pepper basket air fryer cook cheese filling lightly browned 8 10 minute check 8 minute air fryer vary,4,4
air fryer bell pepper popper,air fryer recipe,air fryer recipe,want appetizer try air fryer bell pepper popper everyone take heat jalapeño peppersno worry though use brightly colored mini bell pepper fill boursin herbflavored gournay cheese add little piece bacon top air fry single layer cooking batch depending size air fryer,9 mini pepper mini bell pepper 52 ounce gournay cheese 6 slice bacon cut 3 short piece fresh parsley garnish optional,preheat air fryer 400 degree f 200 degree c according manufacturer direction slice minipepper half stem tip remove membrane seed fill minipepper boursin place piece bacon top place filled minipepper half single layer air fryer cook bacon crisp like 8 12 minute air fry batch necessary place serving platter garnish parsley serve warm,4,4
